Satellite,begin_day_time,end_day_time,median_day_time
SEN3A,2016-02-22 09:30:00,2016-02-22 12:11:00,2016-02-22 10:50:30
SEN3A,2016-02-23 10:45:00,2016-02-23 13:24:00,2016-02-23 12:04:30
SEN3A,2016-02-24 19:29:00,2016-02-24 19:32:00,2016-02-24 19:30:30
SEN3A,2016-02-26 09:27:00,2016-02-26 12:08:00,2016-02-26 10:47:30
SEN3A,2016-03-02 12:59:00,2016-03-02 15:33:00,2016-03-02 14:16:00
SEN3A,2016-03-07 12:21:00,2016-03-07 12:22:00,2016-03-07 12:21:30
SEN3A,2016-03-21 11:16:00,2016-03-21 11:20:00,2016-03-21 11:18:00
SEN3A,2016-03-23 13:27:00,2016-03-23 13:27:00,2016-03-23 13:27:00
SEN3A,2016-04-13 09:11:00,2016-04-13 10:52:00,2016-04-13 10:01:30
SEN3A,2016-04-19 12:03:00,2016-04-19 12:10:00,2016-04-19 12:06:30
SEN3A,2016-06-02 11:14:00,2016-06-02 11:14:00,2016-06-02 11:14:00
SEN3A,2016-07-21 12:45:00,2016-07-21 12:45:00,2016-07-21 12:45:00
SEN3A,2016-08-31 07:25:00,2016-08-31 07:34:00,2016-08-31 07:29:30
SEN3A,2016-09-22 07:59:00,2016-09-22 07:59:00,2016-09-22 07:59:00
SEN3A,2016-11-01 12:05:00,2016-11-01 12:05:00,2016-11-01 12:05:00
SEN3A,2016-12-01 08:00:00,2016-12-01 08:00:00,2016-12-01 08:00:00
SEN3A,2016-12-14 08:46:00,2016-12-14 08:58:00,2016-12-14 08:52:00
SEN3A,2017-02-23 09:40:00,2017-02-23 09:40:00,2017-02-23 09:40:00
SEN3A,2017-03-15 07:42:00,2017-03-15 07:54:00,2017-03-15 07:48:00
SEN3A,2017-04-27 10:58:00,2017-04-27 10:58:00,2017-04-27 10:58:00
SEN3A,2017-05-23 14:35:00,2017-05-23 14:35:00,2017-05-23 14:35:00
SEN3A,2017-07-12 09:45:00,2017-07-12 09:45:00,2017-07-12 09:45:00
SEN3A,2017-09-06 10:26:00,2017-09-06 10:39:00,2017-09-06 10:32:30
SEN3A,2017-09-27 08:08:00,2017-09-27 08:08:00,2017-09-27 08:08:00
SEN3A,2017-11-29 09:20:00,2017-11-29 09:20:00,2017-11-29 09:20:00
SEN3A,2017-12-13 08:09:00,2017-12-13 08:20:00,2017-12-13 08:14:30
SEN3A,2018-02-28 10:05:00,2018-02-28 10:05:00,2018-02-28 10:05:00
SEN3A,2018-03-14 08:46:00,2018-03-14 08:59:00,2018-03-14 08:52:30
SEN3A,2018-05-24 08:12:00,2018-05-24 08:12:00,2018-05-24 08:12:00
SEN3A,2018-08-01 08:15:00,2018-08-01 08:15:00,2018-08-01 08:15:00
SEN3A,2018-08-29 07:48:00,2018-08-29 08:01:00,2018-08-29 07:54:30
SEN3A,2018-11-28 13:45:00,2018-11-28 13:45:00,2018-11-28 13:45:00
SEN3A,2018-12-19 09:31:00,2018-12-19 09:43:00,2018-12-19 09:37:00
SEN3A,2019-02-27 09:15:00,2019-02-27 09:15:00,2019-02-27 09:15:00
SEN3A,2019-03-13 08:08:00,2019-03-13 08:22:00,2019-03-13 08:15:00
SEN3A,2019-06-13 08:23:00,2019-06-13 08:23:00,2019-06-13 08:23:00
SEN3A,2019-08-28 12:12:00,2019-08-28 12:25:00,2019-08-28 12:18:30
SEN3A,2019-11-27 08:05:00,2019-11-27 08:05:00,2019-11-27 08:05:00
SEN3A,2019-12-11 11:57:00,2019-12-11 12:11:00,2019-12-11 12:04:00
SEN3A,2020-03-11 09:11:00,2020-03-11 09:26:00,2020-03-11 09:18:30
SEN3A,2020-06-17 10:13:00,2020-06-17 10:13:00,2020-06-17 10:13:00
SEN3A,2020-09-02 08:34:00,2020-09-02 08:47:00,2020-09-02 08:40:30
SEN3A,2020-12-02 07:47:00,2020-12-02 07:47:00,2020-12-02 07:47:00
SEN3A,2020-12-16 11:39:00,2020-12-16 11:55:00,2020-12-16 11:47:00
SEN3A,2021-01-27 08:23:00,2021-01-27 08:23:00,2021-01-27 08:23:00
SEN3A,2021-03-17 07:11:00,2021-03-17 07:26:00,2021-03-17 07:18:30
SEN3A,2021-06-01 09:30:00,2021-06-01 09:30:00,2021-06-01 09:30:00
SEN3A,2021-08-10 09:15:00,2021-08-10 09:15:00,2021-08-10 09:15:00
SEN3A,2021-09-08 06:33:00,2021-09-08 06:48:00,2021-09-08 06:40:30
SEN3A,2021-11-04 07:10:00,2021-11-04 07:10:00,2021-11-04 07:10:00
SEN3A,2021-11-30 02:42:00,2021-11-30 02:42:00,2021-11-30 02:42:00
SEN3A,2021-12-03 02:55:00,2021-12-03 02:56:00,2021-12-03 02:55:30
SEN3A,2021-12-07 03:00:00,2021-12-07 03:01:00,2021-12-07 03:00:30
SEN3A,2021-12-15 07:39:00,2021-12-15 07:53:00,2021-12-15 07:46:00
SEN3A,2022-01-07 00:09:00,2022-01-07 02:12:00,2022-01-07 01:10:30
SEN3A,2022-01-19 07:30:00,2022-01-19 07:30:00,2022-01-19 07:30:00
SEN3A,2022-02-23 07:38:00,2022-02-23 07:38:00,2022-02-23 07:38:00
SEN3A,2022-03-13 14:37:00,2022-03-13 14:52:00,2022-03-13 14:44:30
SEN3A,2022-04-13 07:56:00,2022-04-13 07:56:00,2022-04-13 07:56:00
SEN3A,2022-05-18 06:08:00,2022-05-18 06:08:00,2022-05-18 06:08:00
SEN3A,2022-06-14 09:30:00,2022-06-14 09:30:00,2022-06-14 09:30:00
SEN3A,2022-07-21 06:41:00,2022-07-21 06:41:00,2022-07-21 06:41:00
SEN3A,2022-08-25 08:13:00,2022-08-25 08:28:00,2022-08-25 08:20:30
SEN3A,2022-10-06 07:00:00,2022-10-06 07:00:00,2022-10-06 07:00:00
